,nose_x,nose_y,nose_z,r_ear_x,r_ear_y,r_ear_z,theta_l,theta_r,l_ear_x,l_ear_y,l_ear_z,pitched_down
775,328.276536495555,376.1642209411854,198.87192499570125,345.46617925286233,298.8800625472189,246.7734339135169,4.423527622582183,1.5846973528503372,291.29600505584045,301.9040800143975,237.56372389465355,0.0
776,328.3925060596874,376.6657306178349,199.29638698494122,345.66576782402484,299.1672121045585,246.9667153606732,4.418406784346252,1.57542698636679,291.4229493209851,302.1889661833609,237.79112393899848,0.0
777,328.5294227485117,377.15157309342385,199.7097966638435,345.8728171095984,299.4360433712569,247.13951292467715,4.4136875091969365,1.5707482733490812,291.5908374507915,302.4739642683208,237.9928129938092,0.0
778,328.7258060782716,377.6202341830022,200.0916683644404,346.0699344603031,299.72766677162184,247.3126978277306,4.409297190789036,1.5709543907171102,291.75847385929757,302.7778638465407,238.18483996064924,0.0
779,328.95139801966644,378.10063422951646,200.45993010823523,346.2727174074327,300.0260771951986,247.45173451154793,4.403541467717707,1.5741097303773393,291.90834021451354,303.127707452059,238.3537672444742,0.0
780,329.21087374426185,378.57587867097124,200.7985442286646,346.4612277751244,300.32723533537813,247.58870614716835,4.396154869934745,1.5794057752465909,292.0791415589969,303.52641682015167,238.4860015369912,0.0
781,329.5226570730209,378.98540369726607,201.1135638056407,346.64632294621003,300.6325767272568,247.74060013646132,4.387791046258121,1.5864774843872596,292.2337823753343,303.9660500054037,238.60614891984983,0.0
782,329.88723008278436,379.41721474229837,201.4198434876354,346.8235763930483,300.93630852984654,247.90121646359358,4.377473743677831,1.594284310183605,292.3956565140303,304.4191721068727,238.6713230716991,0.0
783,330.2233312813181,379.82291550621693,201.71189653500716,346.9840789855514,301.25180691341467,248.04717968241613,4.365390077406027,1.6023702919563567,292.5469693262128,304.8917008995595,238.73433167427467,0.0
784,330.5640766444047,380.18109914448564,201.9941281330355,347.1434087876237,301.5442389549425,248.1908464282224,4.351680262229746,1.611292657825068,292.6867803508148,305.3494429741212,238.77956112561907,0.0
785,330.91796420406985,380.54937671997595,202.27217420502117,347.315993910514,301.8217972447503,248.3305371240014,4.3371225134346485,1.6210343217784433,292.818284260413,305.7719987939476,238.83008274125078,0.0
786,331.24280036888524,380.89121630654944,202.53335546061564,347.50845495784904,302.0980659887457,248.46260993191862,4.3199676602116845,1.6313754990348353,292.97551620557374,306.1746028827434,238.85607696575462,0.0
787,331.60134833892096,381.23890656822164,202.80385169410428,347.69356299135796,302.3742550987101,248.58810062714798,4.302334300647709,1.6429584230491525,293.1206662647946,306.54539194357443,238.881933686775,0.0
788,331.93234174732095,381.5773706971991,203.0621486067066,347.8674794895216,302.6285773401404,248.72344662398538,4.284254138198492,1.6562080918159021,293.2550453565775,306.8862336317646,238.91199402370142,0.0
789,332.2815164121327,381.9129719083667,203.32124957407513,348.02292818300555,302.8501312686051,248.85366995342116,4.266677460706297,1.6705969461496146,293.4082616105104,307.19098758772725,238.95029121864582,0.0
790,332.62824779301604,382.21569965925505,203.56481428483883,348.1889741718674,303.05261306113596,248.99400303143514,4.250199171016392,1.6854468461131928,293.54655782170744,307.53279277324606,238.98772136292106,0.0
791,332.9808602831878,382.52893092437733,203.79205234242593,348.3357204071027,303.2302501801391,249.1332385872029,4.236098471438506,1.7004176146964138,293.68143426235014,307.8025477084653,239.02772878015972,0.0
792,333.355058147511,382.81423882921484,204.01085319806148,348.46674537069975,303.4143517560006,249.33562008705516,4.223184294712587,1.7152603945618998,293.8413201581175,308.10318311296567,239.04486276691577,0.0
793,333.76554362386094,383.0445437475419,204.19231054474966,348.5838258553782,303.58513027514056,249.51613790419785,4.2103781758380725,1.7295985463070584,293.99211592430146,308.38162601023,239.0600745742865,0.0
794,334.232837324948,383.24317927986453,204.37754770522602,348.6882986487639,303.737291095567,249.69700231150722,4.198624321054881,1.7432537266216195,294.16566628507735,308.6822785709361,239.07254173094128,0.0
795,334.74128964054233,383.4071468478022,204.56673414541638,348.7995522446677,303.8719085606475,249.86144971370828,4.186688879630449,1.7562987141649715,294.33497234164116,308.958027692575,239.07228868771534,0.0
796,335.27825152289546,383.5647027537273,204.73564275750743,348.9173721175234,303.9681548357873,250.0326050675495,4.175725904692126,1.7688980526424292,294.49723544366316,309.202935449038,239.07224323532404,0.0
797,335.85951041078846,383.71483404700666,204.90715351385506,349.03305218671983,304.0611148369525,250.1895248264315,4.166928881636924,1.7809448946359971,294.7354162488173,309.4219158984048,239.08410165113446,0.0
798,336.45696666270464,383.81805981626087,205.07107553736088,349.18247281324733,304.1501430545159,250.36642143465983,4.161315463622819,1.791405813455076,294.9928869856824,309.63126658560566,239.06945083190644,0.0
