,nose_x,nose_y,nose_z,r_ear_x,r_ear_y,r_ear_z,theta_l,theta_r
1488,431.9897883702234,392.063579709627,292.03917828795096,411.39786867205913,314.05784442760495,313.9494376309259,4.217097458156243,2.0713946400336973
1489,432.02139233506574,392.1272685184676,291.1395313098028,411.38944973367904,314.13319131496456,313.5432736761197,4.225567433470046,2.082563272963133
1490,432.1434453007627,392.10766095508365,290.4980268323511,411.3701579450382,314.1086906755232,313.092898733321,4.244292217419419,2.0921907066959915
1491,432.17958966637383,392.1413859494126,289.8648212468705,411.3511451146785,314.08229372577534,312.6367597017572,4.272887401429453,2.100232389852267
1492,432.20006392643086,392.1672635465592,289.21045438545826,411.3190254917878,314.03809158189745,312.17433937553295,4.309598095554619,2.1069564590316094
1493,432.22757709152137,392.1987050043442,288.4914919052142,411.28277760494143,314.0145246620639,311.7112052379671,4.351129535498101,2.1128787893096352
1494,432.25104048820054,392.1777731429541,287.71518828546596,411.2454303962935,314.01304265562317,311.2212535258032,4.396464422824505,2.118541909892025
1495,432.2353996816432,392.16459820937104,286.95896549046813,411.20598597940966,314.0428324471243,310.727155860464,4.441424849798925,2.12413748693898
1496,432.2098557915004,392.1186606501534,286.16059165975156,411.1381395945123,314.13535816648755,310.1870586752799,4.485021732937232,2.130116597876794
1497,432.16148138873405,392.06813119652196,285.33343520137686,411.1069343387809,314.1600510243404,309.67513145775183,4.525777830481703,2.136141965528999
1498,432.0504628665011,392.028943652787,284.4448778678278,411.12029598863734,314.182598742761,309.0710301047474,4.563861597476088,2.1425247831023793
1499,431.94942024155483,391.96790072003455,283.50877924635626,411.1376604009831,314.17434982011423,308.4545657202946,4.598323788902806,2.149203485058841
1500,431.79987397897645,391.92932827553557,282.571006295046,411.13905576114666,314.1975974447408,307.82794098126317,4.6311746118278165,2.156472834044687
1501,431.6856842944828,391.89436241291185,281.6112063698473,411.169535206259,314.18363658932793,307.1865420707072,4.662431427541258,2.1640145342681323
1502,431.54586682095584,391.85649895750447,280.5900649242815,411.17153895674784,314.15975032468214,306.5140833007537,4.6924305020826855,2.1705930207980444
1503,431.4062496187737,391.8241661056528,279.493781336958,411.1506859474684,314.1167753888368,305.82116460515215,4.72109136548058,2.175232056351153
1504,431.28939530530886,391.7921696694519,278.3918672801238,411.1180762310482,314.0632917782181,305.1103181132012,4.747595822094412,2.1756157185856875
1505,431.21413448704,391.74701218209896,277.27719968284146,411.0983557423593,314.0801059656188,304.41695356784516,4.7707892124883875,2.170634247512275
1506,431.16874206151357,391.6335197117794,276.15819637017336,411.1024403604826,314.0994429777731,303.68698476985656,4.790733009116376,2.1595856953301182
1507,431.1278685679654,391.53287900019495,275.00880311439,411.0887491619125,314.1373616798658,302.9618418375063,4.806965251847715,2.1424450156912735
1508,431.0821646426489,391.41328187123526,273.847278638341,411.04194055660935,314.1886428222526,302.2477945629981,4.818773587227545,2.1203747760761282
1509,431.0952897332634,391.3565604608097,272.71708743295505,410.9867695109348,314.24448472584953,301.52913085402145,4.825765599169535,2.094785656190403
1510,431.10913340339584,391.258473468659,271.58607354140815,410.8281946730505,314.2277549903486,300.7615907702374,4.827658985921129,2.0669415955155497
1511,431.05650119256455,391.1004881718763,270.2928926533906,410.67749441656764,314.15837348840057,299.95752969600386,4.825385642679261,2.0370182155386156
1512,430.964960193425,390.9218166996617,268.87758767861465,410.58809558875623,314.09200303397813,299.07573650050495,4.818974527226148,2.007056496115185
1513,430.8284132206251,390.70595397770404,267.3483458610321,410.5177046449496,313.9803246222803,298.1110209536923,4.8095589732808985,1.97758336478772
1514,430.6358398404972,390.43011209802967,265.77447247877456,410.4263627256607,313.85966707645196,297.19804356181,4.800456235466028,1.9508522113135138
1515,430.4395676753723,390.1317266733427,264.17752446783913,410.3303647362403,313.76909378700236,296.27848973916826,4.794690088040559,1.926247450384526
1516,430.2353800815923,389.80189574951504,262.5469235025764,410.2532222447936,313.60545030998935,295.32957369840824,4.791689483198512,1.9048968578850196
1517,430.03104752571375,389.45062269989313,261.04043387522535,410.182556066176,313.43336771196186,294.3503591145679,4.793220724771669,1.8868018297014224
1518,429.79516586195325,389.08128299327575,259.4176585120939,410.0935793505753,313.27130447827403,293.35995811063844,4.799164681115706,1.8716334660824565
1519,429.58170466200085,388.66720018038,257.64439488127437,410.0051045717996,313.0508038624174,292.3416422222044,4.80745459409798,1.8588750886954803
